UDDANNELSE;SEKTOR;AFLOEN;LONGRP;LØNMÅL;KØN;TID;INDHOLD
H3025 Jordbrug og natur (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;304,51
H3025 Jordbrug og natur (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;319,47
H3030 Oplevelsesområdet (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;262,18
H3030 Oplevelsesområdet (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;268,79
H3030 Oplevelsesområdet (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;272,91
H3030 Oplevelsesområdet (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;284,05
H3030 Oplevelsesområdet (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;292,36
H3030 Oplevelsesområdet (FJO);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;303,33
H3035 Byggeriområdet (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;291,59
H3035 Byggeriområdet (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;298,16
H3035 Byggeriområdet (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;309,40
H3035 Byggeriområdet (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;321,17
H3035 Byggeriområdet (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;332,89
H3035 Byggeriområdet (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;346,91
H3040 Teknologiområdet, strøm og elektronik mv. (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;337,60
H3040 Teknologiområdet, strøm og elektronik mv. (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;342,69
H3040 Teknologiområdet, strøm og elektronik mv. (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2021;350,30
H3040 Teknologiområdet, strøm og elektronik mv. (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2022;364,33
H3040 Teknologiområdet, strøm og elektronik mv. (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2023;381,03
H3040 Teknologiområdet, strøm og elektronik mv. (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2024;402,32
H3045 Teknologiområdet, grafisk teknik og medieproduktion (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2019;298,39
H3045 Teknologiområdet, grafisk teknik og medieproduktion (TBT);Sektorer i alt;Time- og fastlønnede i alt;Lønmodtagergrupper (eksklusiv unge og elever);FORTJENESTE PR. PRÆSTERET TIME;Mænd og kvinder i alt;2020;302,92
